Cancer site,Sex,Age group,Survival type,Stage,Survival time (years),Cohort,Country,Number of patients,Net survival,Net survival lower CI,Net survival upper CI
Liver,Persons,75-99,Non-standardised,Stage 1,5-years,2013-2017,England,427,:,:,:
Liver,Persons,All ages,Non-standardised,Stage 1,5-years,2013-2017,England,"1,421",42.0,36.3,47.8
Liver,Persons,All ages,Age-standardised,Stage 1,5-years,2013-2017,England,"1,421",:,:,:
Liver,Persons,15-54,Non-standardised,Stage 2,5-years,2013-2017,England,202,48.2,38.1,58.2
Liver,Persons,55-64,Non-standardised,Stage 2,5-years,2013-2017,England,388,41.7,33.8,49.6
Liver,Persons,65-74,Non-standardised,Stage 2,5-years,2013-2017,England,560,33.4,27.0,39.8
Liver,Persons,75-99,Non-standardised,Stage 2,5-years,2013-2017,England,529,24.4,17.8,31.0
Liver,Persons,All ages,Non-standardised,Stage 2,5-years,2013-2017,England,"1,679",34.3,30.5,38.0
Liver,Persons,All ages,Age-standardised,Stage 2,5-years,2013-2017,England,"1,679",34.4,30.7,38.5
Liver,Persons,15-44,Non-standardised,Stage 3,5-years,2013-2017,England,39,:,:,:
Liver,Persons,45-54,Non-standardised,Stage 3,5-years,2013-2017,England,91,:,:,:
Liver,Persons,55-64,Non-standardised,Stage 3,5-years,2013-2017,England,300,:,:,:
Liver,Persons,65-74,Non-standardised,Stage 3,5-years,2013-2017,England,477,:,:,:
Liver,Persons,75-99,Non-standardised,Stage 3,5-years,2013-2017,England,598,:,:,:
Liver,Persons,All ages,Non-standardised,Stage 3,5-years,2013-2017,England,"1,505",10.4,8.0,12.7
Liver,Persons,All ages,Age-standardised,Stage 3,5-years,2013-2017,England,"1,505",:,:,:
Liver,Persons,15-44,Non-standardised,Stage 4,5-years,2013-2017,England,182,:,:,:
Liver,Persons,45-54,Non-standardised,Stage 4,5-years,2013-2017,England,455,:,:,:
Liver,Persons,55-64,Non-standardised,Stage 4,5-years,2013-2017,England,"1,122",:,:,:
Liver,Persons,65-74,Non-standardised,Stage 4,5-years,2013-2017,England,"1,923",:,:,:
Liver,Persons,75-99,Non-standardised,Stage 4,5-years,2013-2017,England,"2,542",:,:,:
Liver,Persons,All ages,Non-standardised,Stage 4,5-years,2013-2017,England,"6,224",3.1,2.4,3.8
Liver,Persons,All ages,Age-standardised,Stage 4,5-years,2013-2017,England,"6,224",:,:,:
Liver,Persons,15-44,Non-standardised,Unstageable,5-years,2013-2017,England,58,:,:,:
Liver,Persons,45-54,Non-standardised,Unstageable,5-years,2013-2017,England,91,:,:,:
Liver,Persons,55-64,Non-standardised,Unstageable,5-years,2013-2017,England,167,23.7,16.4,31.0
Liver,Persons,65-74,Non-standardised,Unstageable,5-years,2013-2017,England,339,14.9,10.0,19.8
Liver,Persons,75-99,Non-standardised,Unstageable,5-years,2013-2017,England,649,:,:,:
Liver,Persons,All ages,Non-standardised,Unstageable,5-years,2013-2017,England,"1,304",13.3,10.9,15.7
Liver,Persons,All ages,Age-standardised,Unstageable,5-years,2013-2017,England,"1,304",:,:,:
Liver,Persons,15-44,Non-standardised,Unknown/missing,5-years,2013-2017,England,207,40.5,33.0,48.0
Liver,Persons,45-54,Non-standardised,Unknown/missing,5-years,2013-2017,England,651,24.7,21.0,28.5
Liver,Persons,55-64,Non-standardised,Unknown/missing,5-years,2013-2017,England,"1,951",19.8,17.7,21.9
Liver,Persons,65-74,Non-standardised,Unknown/missing,5-years,2013-2017,England,"3,167",11.2,9.6,12.7
Liver,Persons,75-99,Non-standardised,Unknown/missing,5-years,2013-2017,England,"5,542",4.5,3.5,5.4
Liver,Persons,All ages,Non-standardised,Unknown/missing,5-years,2013-2017,England,"11,518",10.9,10.1,11.7
Liver,Persons,All ages,Age-standardised,Unknown/missing,5-years,2013-2017,England,"11,518",11.8,10.8,12.8
Liver,Persons,15-44,Non-standardised,All stages combined,5-years,2013-2017,England,575,36.6,32.0,41.2
Liver,Persons,45-54,Non-standardised,All stages combined,5-years,2013-2017,England,"1,588",23.5,20.9,26.1
Liver,Persons,55-64,Non-standardised,All stages combined,5-years,2013-2017,England,"4,276",19.6,18.1,21.1
Liver,Persons,65-74,Non-standardised,All stages combined,5-years,2013-2017,England,"6,925",12.5,11.3,13.7
Liver,Persons,75-99,Non-standardised,All stages combined,5-years,2013-2017,England,"10,287",5.5,4.6,6.3
Liver,Persons,All ages,Non-standardised,All stages combined,5-years,2013-2017,England,"23,651",12.1,11.5,12.8
Liver,Persons,All ages,Age-standardised,All stages combined,5-years,2013-2017,England,"23,651",12.7,12.0,13.4
Lung,Men,15-44,Non-standardised,Stage 1,1-year,2013-2017,England,137,97.2,94.3,100.0
Lung,Men,45-54,Non-standardised,Stage 1,1-year,2013-2017,England,420,90.4,87.5,93.2
Lung,Men,55-64,Non-standardised,Stage 1,1-year,2013-2017,England,"1,809",88.9,87.3,90.4
Lung,Men,65-74,Non-standardised,Stage 1,1-year,2013-2017,England,"4,810",85.5,84.4,86.6
Lung,Men,75-99,Non-standardised,Stage 1,1-year,2013-2017,England,"6,541",77.8,76.6,79.0
Lung,Men,All ages,Non-standardised,Stage 1,1-year,2013-2017,England,"13,717",82.5,81.8,83.3
Lung,Men,All ages,Age-standardised,Stage 1,1-year,2013-2017,England,"13,717",85.3,84.6,86.0
Lung,Men,15-44,Non-standardised,Stage 2,1-year,2013-2017,England,50,92.1,84.7,99.6
Lung,Men,45-54,Non-standardised,Stage 2,1-year,2013-2017,England,256,83.1,78.5,87.8
Lung,Men,55-64,Non-standardised,Stage 2,1-year,2013-2017,England,"1,106",77.6,75.1,80.1
Lung,Men,65-74,Non-standardised,Stage 2,1-year,2013-2017,England,"2,645",72.0,70.2,73.8
Lung,Men,75-99,Non-standardised,Stage 2,1-year,2013-2017,England,"3,483",58.5,56.7,60.3
Lung,Men,All ages,Non-standardised,Stage 2,1-year,2013-2017,England,"7,540",67.1,66.0,68.2
Lung,Men,All ages,Age-standardised,Stage 2,1-year,2013-2017,England,"7,540",71.4,70.3,72.6
Lung,Men,15-44,Non-standardised,Stage 3,1-year,2013-2017,England,158,55.8,48.1,63.5
Lung,Men,45-54,Non-standardised,Stage 3,1-year,2013-2017,England,941,57.6,54.4,60.7
Lung,Men,55-64,Non-standardised,Stage 3,1-year,2013-2017,England,"3,368",54.9,53.2,56.6
Lung,Men,65-74,Non-standardised,Stage 3,1-year,2013-2017,England,"6,858",48.2,47.0,49.4
Lung,Men,75-99,Non-standardised,Stage 3,1-year,2013-2017,England,"8,306",34.4,33.4,35.5
Lung,Men,All ages,Non-standardised,Stage 3,1-year,2013-2017,England,"19,631",44.0,43.3,44.8
Lung,Men,All ages,Age-standardised,Stage 3,1-year,2013-2017,England,"19,631",46.5,45.7,47.3
Lung,Men,15-44,Non-standardised,Stage 4,1-year,2013-2017,England,474,29.1,25.0,33.2
Lung,Men,45-54,Non-standardised,Stage 4,1-year,2013-2017,England,"2,562",23.4,21.7,25.0
Lung,Men,55-64,Non-standardised,Stage 4,1-year,2013-2017,England,"8,435",20.3,19.4,21.1
Lung,Men,65-74,Non-standardised,Stage 4,1-year,2013-2017,England,"16,979",17.5,16.9,18.1
Lung,Men,75-99,Non-standardised,Stage 4,1-year,2013-2017,England,"20,905",11.4,10.9,11.8
Lung,Men,All ages,Non-standardised,Stage 4,1-year,2013-2017,England,"49,355",15.8,15.5,16.1
Lung,Men,All ages,Age-standardised,Stage 4,1-year,2013-2017,England,"49,355",17.1,16.8,17.5
Lung,Men,15-44,Non-standardised,Unstageable,1-year,2013-2017,England,16,81.3,62.8,99.8
Lung,Men,45-54,Non-standardised,Unstageable,1-year,2013-2017,England,26,50.1,31.4,68.8
Lung,Men,55-64,Non-standardised,Unstageable,1-year,2013-2017,England,40,58.0,42.9,73.2
Lung,Men,65-74,Non-standardised,Unstageable,1-year,2013-2017,England,85,49.3,38.5,60.0
Lung,Men,75-99,Non-standardised,Unstageable,1-year,2013-2017,England,107,28.9,20.0,37.8
Lung,Men,All ages,Non-standardised,Unstageable,1-year,2013-2017,England,274,44.6,38.6,50.6
Lung,Men,All ages,Age-standardised,Unstageable,1-year,2013-2017,England,274,45.5,39.8,52.0
Lung,Men,15-44,Non-standardised,Unknown/missing,1-year,2013-2017,England,71,55.8,44.3,67.3
Lung,Men,45-54,Non-standardised,Unknown/missing,1-year,2013-2017,England,248,39.2,33.2,45.2
Lung,Men,55-64,Non-standardised,Unknown/missing,1-year,2013-2017,England,835,25.8,22.8,28.7
Lung,Men,65-74,Non-standardised,Unknown/missing,1-year,2013-2017,England,"2,060",22.2,20.4,24.0
Lung,Men,75-99,Non-standardised,Unknown/missing,1-year,2013-2017,England,"4,626",17.6,16.4,18.7
Lung,Men,All ages,Non-standardised,Unknown/missing,1-year,2013-2017,England,"7,840",20.7,19.7,21.6
Lung,Men,All ages,Age-standardised,Unknown/missing,1-year,2013-2017,England,"7,840",24.5,23.4,25.7
Lung,Men,15-44,Non-standardised,All stages combined,1-year,2013-2017,England,906,50.6,47.3,53.8
Lung,Men,45-54,Non-standardised,All stages combined,1-year,2013-2017,England,"4,453",41.4,39.9,42.8
Lung,Men,55-64,Non-standardised,All stages combined,1-year,2013-2017,England,"15,593",40.2,39.4,40.9
Lung,Men,65-74,Non-standardised,All stages combined,1-year,2013-2017,England,"33,437",38.3,37.7,38.8
Lung,Men,75-99,Non-standardised,All stages combined,1-year,2013-2017,England,"43,968",30.0,29.6,30.5
Lung,Men,All ages,Non-standardised,All stages combined,1-year,2013-2017,England,"98,357",35.1,34.8,35.5
Lung,Men,All ages,Age-standardised,All stages combined,1-year,2013-2017,England,"98,357",37.1,36.8,37.5
Lung,Men,15-54,Non-standardised,Stage 1,5-years,2013-2017,England,557,74.7,69.7,79.6
Lung,Men,55-64,Non-standardised,Stage 1,5-years,2013-2017,England,"1,809",59.6,56.2,62.9
Lung,Men,65-74,Non-standardised,Stage 1,5-years,2013-2017,England,"4,810",52.3,50.1,54.6
Lung,Men,75-99,Non-standardised,Stage 1,5-years,2013-2017,England,"6,541",34.5,31.7,37.3
Lung,Men,All ages,Non-standardised,Stage 1,5-years,2013-2017,England,"13,717",45.9,44.3,47.6
Lung,Men,All ages,Age-standardised,Stage 1,5-years,2013-2017,England,"13,717",51.1,49.5,52.8
Lung,Men,15-54,Non-standardised,Stage 2,5-years,2013-2017,England,306,48.4,41.5,55.3
Lung,Men,55-64,Non-standardised,Stage 2,5-years,2013-2017,England,"1,106",44.3,40.3,48.3
Lung,Men,65-74,Non-standardised,Stage 2,5-years,2013-2017,England,"2,645",32.7,30.0,35.3
Lung,Men,75-99,Non-standardised,Stage 2,5-years,2013-2017,England,"3,483",18.6,15.8,21.4
Lung,Men,All ages,Non-standardised,Stage 2,5-years,2013-2017,England,"7,540",28.6,26.9,30.4
Lung,Men,All ages,Age-standardised,Stage 2,5-years,2013-2017,England,"7,540",32.1,30.2,34.1
Lung,Men,15-44,Non-standardised,Stage 3,5-years,2013-2017,England,158,29.2,19.1,39.3
Lung,Men,45-54,Non-standardised,Stage 3,5-years,2013-2017,England,941,21.9,18.4,25.3
Lung,Men,55-64,Non-standardised,Stage 3,5-years,2013-2017,England,"3,368",15.9,14.2,17.7
Lung,Men,65-74,Non-standardised,Stage 3,5-years,2013-2017,England,"6,858",11.1,10.0,12.3
Lung,Men,75-99,Non-standardised,Stage 3,5-years,2013-2017,England,"8,306",5.9,4.7,7.0
Lung,Men,All ages,Non-standardised,Stage 3,5-years,2013-2017,England,"19,631",10.4,9.7,11.1
Lung,Men,All ages,Age-standardised,Stage 3,5-years,2013-2017,England,"19,631",11.6,10.8,12.6
Lung,Men,15-44,Non-standardised,Stage 4,5-years,2013-2017,England,474,12.5,9.0,16.1
Lung,Men,45-54,Non-standardised,Stage 4,5-years,2013-2017,England,"2,562",5.4,4.2,6.5
Lung,Men,55-64,Non-standardised,Stage 4,5-years,2013-2017,England,"8,435",3.3,2.7,3.8
Lung,Men,65-74,Non-standardised,Stage 4,5-years,2013-2017,England,"16,979",1.9,1.6,2.2
Lung,Men,75-99,Non-standardised,Stage 4,5-years,2013-2017,England,"20,905",1.0,0.8,1.3
Lung,Men,All ages,Non-standardised,Stage 4,5-years,2013-2017,England,"49,355",2.1,1.9,2.3
Lung,Men,All ages,Age-standardised,Stage 4,5-years,2013-2017,England,"49,355",2.3,2.1,2.6
Lung,Men,15-44,Non-standardised,Unstageable,5-years,2013-2017,England,16,:,:,:
Lung,Men,45-54,Non-standardised,Unstageable,5-years,2013-2017,England,26,:,:,:
Lung,Men,55-64,Non-standardised,Unstageable,5-years,2013-2017,England,40,:,:,:
Lung,Men,65-74,Non-standardised,Unstageable,5-years,2013-2017,England,85,:,:,:
Lung,Men,75-99,Non-standardised,Unstageable,5-years,2013-2017,England,107,:,:,:
Lung,Men,All ages,Non-standardised,Unstageable,5-years,2013-2017,England,274,22.7,16.3,29.2
Lung,Men,All ages,Age-standardised,Unstageable,5-years,2013-2017,England,274,:,:,:
Lung,Men,15-44,Non-standardised,Unknown/missing,5-years,2013-2017,England,71,:,:,:
Lung,Men,45-54,Non-standardised,Unknown/missing,5-years,2013-2017,England,248,:,:,:
Lung,Men,55-64,Non-standardised,Unknown/missing,5-years,2013-2017,England,835,12.3,9.8,14.8
Lung,Men,65-74,Non-standardised,Unknown/missing,5-years,2013-2017,England,"2,060",8.8,7.3,10.4
Lung,Men,75-99,Non-standardised,Unknown/missing,5-years,2013-2017,England,"4,626",3.8,2.9,4.7
Lung,Men,All ages,Non-standardised,Unknown/missing,5-years,2013-2017,England,"7,840",6.8,6.0,7.6
Lung,Men,All ages,Age-standardised,Unknown/missing,5-years,2013-2017,England,"7,840",:,:,:
Lung,Men,15-44,Non-standardised,All stages combined,5-years,2013-2017,England,906,33.6,30.0,37.1
Lung,Men,45-54,Non-standardised,All stages combined,5-years,2013-2017,England,"4,453",18.0,16.6,19.4
Lung,Men,55-64,Non-standardised,All stages combined,5-years,2013-2017,England,"15,593",16.1,15.3,16.8
Lung,Men,65-74,Non-standardised,All stages combined,5-years,2013-2017,England,"33,437",14.0,13.5,14.5
Lung,Men,75-99,Non-standardised,All stages combined,5-years,2013-2017,England,"43,968",8.7,8.1,9.2
Lung,Men,All ages,Non-standardised,All stages combined,5-years,2013-2017,England,"98,357",12.3,12.0,12.7
Lung,Men,All ages,Age-standardised,All stages combined,5-years,2013-2017,England,"98,357",13.8,13.4,14.2
Lung,Women,15-44,Non-standardised,Stage 1,1-year,2013-2017,England,167,97.7,95.4,100.0
Lung,Women,45-54,Non-standardised,Stage 1,1-year,2013-2017,England,614,95.4,93.7,97.1
Lung,Women,55-64,Non-standardised,Stage 1,1-year,2013-2017,England,"2,328",93.5,92.4,94.5
Lung,Women,65-74,Non-standardised,Stage 1,1-year,2013-2017,England,"5,313",91.6,90.8,92.4
Lung,Women,75-99,Non-standardised,Stage 1,1-year,2013-2017,England,"6,797",81.3,80.2,82.3
Lung,Women,All ages,Non-standardised,Stage 1,1-year,2013-2017,England,"15,219",87.5,86.9,88.1
Lung,Women,All ages,Age-standardised,Stage 1,1-year,2013-2017,England,"15,219",89.7,89.2,90.3
Lung,Women,15-44,Non-standardised,Stage 2,1-year,2013-2017,England,55,92.8,86.0,99.6
Lung,Women,45-54,Non-standardised,Stage 2,1-year,2013-2017,England,249,85.8,81.4,90.1
Lung,Women,55-64,Non-standardised,Stage 2,1-year,2013-2017,England,941,85.4,83.1,87.7
Lung,Women,65-74,Non-standardised,Stage 2,1-year,2013-2017,England,"2,037",76.4,74.5,78.3
Lung,Women,75-99,Non-standardised,Stage 2,1-year,2013-2017,England,"2,696",59.5,57.5,61.5
Lung,Women,All ages,Non-standardised,Stage 2,1-year,2013-2017,England,"5,978",70.7,69.5,71.9
Lung,Women,All ages,Age-standardised,Stage 2,1-year,2013-2017,England,"5,978",74.9,73.7,76.1
Lung,Women,15-44,Non-standardised,Stage 3,1-year,2013-2017,England,123,72.4,64.6,80.3
Lung,Women,45-54,Non-standardised,Stage 3,1-year,2013-2017,England,867,63.7,60.5,66.9
Lung,Women,55-64,Non-standardised,Stage 3,1-year,2013-2017,England,"2,901",60.9,59.1,62.7
Lung,Women,65-74,Non-standardised,Stage 3,1-year,2013-2017,England,"5,657",52.7,51.4,54.0
Lung,Women,75-99,Non-standardised,Stage 3,1-year,2013-2017,England,"6,525",36.8,35.5,38.0
Lung,Women,All ages,Non-standardised,Stage 3,1-year,2013-2017,England,"16,073",48.5,47.7,49.3
Lung,Women,All ages,Age-standardised,Stage 3,1-year,2013-2017,England,"16,073",51.3,50.5,52.2
Lung,Women,15-44,Non-standardised,Stage 4,1-year,2013-2017,England,451,42.0,37.5,46.6
Lung,Women,45-54,Non-standardised,Stage 4,1-year,2013-2017,England,"2,375",31.3,29.4,33.2
Lung,Women,55-64,Non-standardised,Stage 4,1-year,2013-2017,England,"7,058",27.0,25.9,28.0
Lung,Women,65-74,Non-standardised,Stage 4,1-year,2013-2017,England,"13,681",21.8,21.1,22.5
Lung,Women,75-99,Non-standardised,Stage 4,1-year,2013-2017,England,"17,309",13.7,13.2,14.3
Lung,Women,All ages,Non-standardised,Stage 4,1-year,2013-2017,England,"40,874",20.0,19.7,20.4
Lung,Women,All ages,Age-standardised,Stage 4,1-year,2013-2017,England,"40,874",21.9,21.5,22.3
Lung,Women,15-44,Non-standardised,Unstageable,1-year,2013-2017,England,18,72.3,52.2,92.3
Lung,Women,45-54,Non-standardised,Unstageable,1-year,2013-2017,England,18,83.5,66.7,100.2
Lung,Women,55-64,Non-standardised,Unstageable,1-year,2013-2017,England,48,69.2,56.2,82.2
Lung,Women,65-74,Non-standardised,Unstageable,1-year,2013-2017,England,64,64.7,53.0,76.4
Lung,Women,75-99,Non-standardised,Unstageable,1-year,2013-2017,England,70,43.7,31.7,55.7
Lung,Women,All ages,Non-standardised,Unstageable,1-year,2013-2017,England,218,61.1,54.5,67.7
Lung,Women,All ages,Age-standardised,Unstageable,1-year,2013-2017,England,218,60.9,54.6,67.9
Lung,Women,15-44,Non-standardised,Unknown/missing,1-year,2013-2017,England,66,78.8,69.1,88.6
Lung,Women,45-54,Non-standardised,Unknown/missing,1-year,2013-2017,England,199,49.4,42.5,56.3
Lung,Women,55-64,Non-standardised,Unknown/missing,1-year,2013-2017,England,664,42.0,38.3,45.7
Lung,Women,65-74,Non-standardised,Unknown/missing,1-year,2013-2017,England,"1,575",32.1,29.8,34.4
Lung,Women,75-99,Non-standardised,Unknown/missing,1-year,2013-2017,England,"4,404",22.6,21.3,23.9
Lung,Women,All ages,Non-standardised,Unknown/missing,1-year,2013-2017,England,"6,908",27.9,26.8,29.0
Lung,Women,All ages,Age-standardised,Unknown/missing,1-year,2013-2017,England,"6,908",34.6,33.3,35.9
Lung,Women,15-44,Non-standardised,All stages combined,1-year,2013-2017,England,880,63.4,60.2,66.6
Lung,Women,45-54,Non-standardised,All stages combined,1-year,2013-2017,England,"4,322",51.1,49.6,52.6
Lung,Women,55-64,Non-standardised,All stages combined,1-year,2013-2017,England,"13,940",49.9,49.1,50.8
Lung,Women,65-74,Non-standardised,All stages combined,1-year,2013-2017,England,"28,327",45.7,45.1,46.3
Lung,Women,75-99,Non-standardised,All stages combined,1-year,2013-2017,England,"37,801",34.2,33.7,34.7
Lung,Women,All ages,Non-standardised,All stages combined,1-year,2013-2017,England,"85,270",41.7,41.4,42.1
Lung,Women,All ages,Age-standardised,All stages combined,1-year,2013-2017,England,"85,270",44.5,44.1,44.8
Lung,Women,15-54,Non-standardised,Stage 1,5-years,2013-2017,England,781,85.0,81.8,88.2
Lung,Women,55-64,Non-standardised,Stage 1,5-years,2013-2017,England,"2,328",71.1,68.4,73.8
Lung,Women,65-74,Non-standardised,Stage 1,5-years,2013-2017,England,"5,313",64.4,62.4,66.4
Lung,Women,75-99,Non-standardised,Stage 1,5-years,2013-2017,England,"6,797",42.3,39.9,44.8
Lung,Women,All ages,Non-standardised,Stage 1,5-years,2013-2017,England,"15,219",56.8,55.4,58.2
Lung,Women,All ages,Age-standardised,Stage 1,5-years,2013-2017,England,"15,219",61.5,60.2,62.9
Lung,Women,15-54,Non-standardised,Stage 2,5-years,2013-2017,England,304,55.3,47.9,62.7
Lung,Women,55-64,Non-standardised,Stage 2,5-years,2013-2017,England,941,53.4,49.0,57.8
Lung,Women,65-74,Non-standardised,Stage 2,5-years,2013-2017,England,"2,037",37.8,34.7,40.9
Lung,Women,75-99,Non-standardised,Stage 2,5-years,2013-2017,England,"2,696",19.7,16.9,22.6
Lung,Women,All ages,Non-standardised,Stage 2,5-years,2013-2017,England,"5,978",33.2,31.3,35.1
Lung,Women,All ages,Age-standardised,Stage 2,5-years,2013-2017,England,"5,978",36.4,34.4,38.6
Lung,Women,15-44,Non-standardised,Stage 3,5-years,2013-2017,England,123,31.6,21.6,41.5
Lung,Women,45-54,Non-standardised,Stage 3,5-years,2013-2017,England,867,25.4,21.7,29.2
Lung,Women,55-64,Non-standardised,Stage 3,5-years,2013-2017,England,"2,901",19.7,17.7,21.7
Lung,Women,65-74,Non-standardised,Stage 3,5-years,2013-2017,England,"5,657",14.5,13.1,15.8
Lung,Women,75-99,Non-standardised,Stage 3,5-years,2013-2017,England,"6,525",6.2,5.0,7.3
Lung,Women,All ages,Non-standardised,Stage 3,5-years,2013-2017,England,"16,073",12.8,12.0,13.7
Lung,Women,All ages,Age-standardised,Stage 3,5-years,2013-2017,England,"16,073",13.7,12.8,14.7
Lung,Women,15-54,Non-standardised,Stage 4,5-years,2013-2017,England,"2,826",7.3,6.0,8.6
Lung,Women,55-64,Non-standardised,Stage 4,5-years,2013-2017,England,"7,058",4.7,4.0,5.4
Lung,Women,65-74,Non-standardised,Stage 4,5-years,2013-2017,England,"13,681",3.3,2.8,3.7
Lung,Women,75-99,Non-standardised,Stage 4,5-years,2013-2017,England,"17,309",1.7,1.4,2.1
Lung,Women,All ages,Non-standardised,Stage 4,5-years,2013-2017,England,"40,874",3.1,2.9,3.4
Lung,Women,All ages,Age-standardised,Stage 4,5-years,2013-2017,England,"40,874",3.4,3.2,3.8
Lung,Women,15-44,Non-standardised,Unstageable,5-years,2013-2017,England,18,:,:,:
Lung,Women,45-54,Non-standardised,Unstageable,5-years,2013-2017,England,18,:,:,:
Lung,Women,55-64,Non-standardised,Unstageable,5-years,2013-2017,England,48,:,:,:
Lung,Women,65-74,Non-standardised,Unstageable,5-years,2013-2017,England,64,:,:,:
Lung,Women,75-99,Non-standardised,Unstageable,5-years,2013-2017,England,70,:,:,:
Lung,Women,All ages,Non-standardised,Unstageable,5-years,2013-2017,England,218,39.3,31.2,47.3
Lung,Women,All ages,Age-standardised,Unstageable,5-years,2013-2017,England,218,:,:,:
Lung,Women,15-44,Non-standardised,Unknown/missing,5-years,2013-2017,England,66,:,:,:
Lung,Women,45-54,Non-standardised,Unknown/missing,5-years,2013-2017,England,199,:,:,:
Lung,Women,55-64,Non-standardised,Unknown/missing,5-years,2013-2017,England,664,22.0,18.2,25.8
Lung,Women,65-74,Non-standardised,Unknown/missing,5-years,2013-2017,England,"1,575",14.6,12.4,16.8
Lung,Women,75-99,Non-standardised,Unknown/missing,5-years,2013-2017,England,"4,404",5.3,4.2,6.4
Lung,Women,All ages,Non-standardised,Unknown/missing,5-years,2013-2017,England,"6,908",10.3,9.3,11.3
Lung,Women,All ages,Age-standardised,Unknown/missing,5-years,2013-2017,England,"6,908",:,:,:
Lung,Women,15-44,Non-standardised,All stages combined,5-years,2013-2017,England,880,38.4,34.7,42.1
Lung,Women,45-54,Non-standardised,All stages combined,5-years,2013-2017,England,"4,322",25.4,23.8,26.9
Lung,Women,55-64,Non-standardised,All stages combined,5-years,2013-2017,England,"13,940",23.2,22.3,24.1
Lung,Women,65-74,Non-standardised,All stages combined,5-years,2013-2017,England,"28,327",20.2,19.5,20.8
Lung,Women,75-99,Non-standardised,All stages combined,5-years,2013-2017,England,"37,801",11.5,10.9,12.1
Lung,Women,All ages,Non-standardised,All stages combined,5-years,2013-2017,England,"85,270",17.3,16.9,17.7
Lung,Women,All ages,Age-standardised,All stages combined,5-years,2013-2017,England,"85,270",19.0,18.6,19.4
Lung,Persons,15-44,Non-standardised,Stage 1,1-year,2013-2017,England,304,97.5,95.7,99.3
Lung,Persons,45-54,Non-standardised,Stage 1,1-year,2013-2017,England,"1,034",93.3,91.8,94.9
Lung,Persons,55-64,Non-standardised,Stage 1,1-year,2013-2017,England,"4,137",91.5,90.6,92.3
Lung,Persons,65-74,Non-standardised,Stage 1,1-year,2013-2017,England,"10,123",88.7,88.1,89.4
Lung,Persons,75-99,Non-standardised,Stage 1,1-year,2013-2017,England,"13,338",79.6,78.8,80.4
Lung,Persons,All ages,Non-standardised,Stage 1,1-year,2013-2017,England,"28,936",85.2,84.7,85.6
Lung,Persons,All ages,Age-standardised,Stage 1,1-year,2013-2017,England,"28,936",87.7,87.2,88.1
Lung,Persons,15-44,Non-standardised,Stage 2,1-year,2013-2017,England,105,92.5,87.4,97.5
Lung,Persons,45-54,Non-standardised,Stage 2,1-year,2013-2017,England,505,84.4,81.3,87.6
Lung,Persons,55-64,Non-standardised,Stage 2,1-year,2013-2017,England,"2,047",81.2,79.5,82.9
Lung,Persons,65-74,Non-standardised,Stage 2,1-year,2013-2017,England,"4,682",73.9,72.6,75.2
Lung,Persons,75-99,Non-standardised,Stage 2,1-year,2013-2017,England,"6,179",58.9,57.6,60.3
Lung,Persons,All ages,Non-standardised,Stage 2,1-year,2013-2017,England,"13,518",68.7,67.9,69.5
Lung,Persons,All ages,Age-standardised,Stage 2,1-year,2013-2017,England,"13,518",73.0,72.2,73.8
Lung,Persons,15-44,Non-standardised,Stage 3,1-year,2013-2017,England,281,63.1,57.4,68.7
Lung,Persons,45-54,Non-standardised,Stage 3,1-year,2013-2017,England,"1,808",60.5,58.3,62.8
Lung,Persons,55-64,Non-standardised,Stage 3,1-year,2013-2017,England,"6,269",57.7,56.4,58.9
Lung,Persons,65-74,Non-standardised,Stage 3,1-year,2013-2017,England,"12,515",50.3,49.4,51.1
Lung,Persons,75-99,Non-standardised,Stage 3,1-year,2013-2017,England,"14,831",35.5,34.7,36.3
Lung,Persons,All ages,Non-standardised,Stage 3,1-year,2013-2017,England,"35,704",46.0,45.5,46.6
Lung,Persons,All ages,Age-standardised,Stage 3,1-year,2013-2017,England,"35,704",48.7,48.1,49.3
Lung,Persons,15-44,Non-standardised,Stage 4,1-year,2013-2017,England,925,35.4,32.4,38.5
Lung,Persons,45-54,Non-standardised,Stage 4,1-year,2013-2017,England,"4,937",27.2,25.9,28.4
Lung,Persons,55-64,Non-standardised,Stage 4,1-year,2013-2017,England,"15,493",23.3,22.6,24.0
Lung,Persons,65-74,Non-standardised,Stage 4,1-year,2013-2017,England,"30,660",19.4,19.0,19.9
Lung,Persons,75-99,Non-standardised,Stage 4,1-year,2013-2017,England,"38,214",12.4,12.1,12.8
Lung,Persons,All ages,Non-standardised,Stage 4,1-year,2013-2017,England,"90,229",17.7,17.5,18.0
Lung,Persons,All ages,Age-standardised,Stage 4,1-year,2013-2017,England,"90,229",19.3,19.0,19.6
Lung,Persons,15-44,Non-standardised,Unstageable,1-year,2013-2017,England,34,76.5,62.5,90.6
Lung,Persons,45-54,Non-standardised,Unstageable,1-year,2013-2017,England,44,63.8,49.7,77.8
Lung,Persons,55-64,Non-standardised,Unstageable,1-year,2013-2017,England,88,64.1,54.1,74.2
Lung,Persons,65-74,Non-standardised,Unstageable,1-year,2013-2017,England,149,55.9,47.9,64.0
Lung,Persons,75-99,Non-standardised,Unstageable,1-year,2013-2017,England,177,34.8,27.5,42.1
Lung,Persons,All ages,Non-standardised,Unstageable,1-year,2013-2017,England,492,51.9,47.4,56.5
