Cancer site,Sex,Age group,Survival type,Stage,Survival time (years),Cohort,Country,Number of patients,Net survival,Net survival lower CI,Net survival upper CI
Anus,Men,All ages,Non-standardised,All stages combined,5-years,2013-2017,England,"1,976",55.0,51.4,58.5
Anus,Men,All ages,Age-standardised,All stages combined,5-years,2013-2017,England,"1,976",52.0,48.0,56.2
Anus,Women,15-54,Non-standardised,Stage 1,1-year,2013-2017,England,128,98.6,96.4,100.7
Anus,Women,55-64,Non-standardised,Stage 1,1-year,2013-2017,England,133,99.3,97.9,100.8
Anus,Women,65-74,Non-standardised,Stage 1,1-year,2013-2017,England,108,98.4,95.2,101.5
Anus,Women,75-99,Non-standardised,Stage 1,1-year,2013-2017,England,82,99.8,94.9,104.7
Anus,Women,All ages,Non-standardised,Stage 1,1-year,2013-2017,England,451,99.1,97.7,100.5
Anus,Women,All ages,Age-standardised,Stage 1,1-year,2013-2017,England,451,99.1,97.3,100.8
Anus,Women,15-44,Non-standardised,Stage 2,1-year,2013-2017,England,40,92.6,84.5,100.6
Anus,Women,45-54,Non-standardised,Stage 2,1-year,2013-2017,England,140,98.8,96.8,100.7
Anus,Women,55-64,Non-standardised,Stage 2,1-year,2013-2017,England,215,96.7,94.1,99.2
Anus,Women,65-74,Non-standardised,Stage 2,1-year,2013-2017,England,245,96.2,93.5,99.0
Anus,Women,75-99,Non-standardised,Stage 2,1-year,2013-2017,England,210,91.2,86.3,96.1
Anus,Women,All ages,Non-standardised,Stage 2,1-year,2013-2017,England,850,95.4,93.7,97.1
Anus,Women,All ages,Age-standardised,Stage 2,1-year,2013-2017,England,850,94.9,93.0,96.8
Anus,Women,15-44,Non-standardised,Stage 3,1-year,2013-2017,England,88,96.7,92.9,100.4
Anus,Women,45-54,Non-standardised,Stage 3,1-year,2013-2017,England,271,95.0,92.4,97.7
Anus,Women,55-64,Non-standardised,Stage 3,1-year,2013-2017,England,382,97.9,96.3,99.5
Anus,Women,65-74,Non-standardised,Stage 3,1-year,2013-2017,England,344,93.2,90.3,96.1
Anus,Women,75-99,Non-standardised,Stage 3,1-year,2013-2017,England,283,81.7,76.6,86.9
Anus,Women,All ages,Non-standardised,Stage 3,1-year,2013-2017,England,"1,368",92.8,91.3,94.3
Anus,Women,All ages,Age-standardised,Stage 3,1-year,2013-2017,England,"1,368",91.2,89.3,93.1
Anus,Women,15-44,Non-standardised,Stage 4,1-year,2013-2017,England,17,76.5,57.0,96.0
Anus,Women,45-54,Non-standardised,Stage 4,1-year,2013-2017,England,56,80.6,70.2,90.9
Anus,Women,55-64,Non-standardised,Stage 4,1-year,2013-2017,England,59,57.9,45.4,70.5
Anus,Women,65-74,Non-standardised,Stage 4,1-year,2013-2017,England,98,60.1,50.2,70.0
Anus,Women,75-99,Non-standardised,Stage 4,1-year,2013-2017,England,87,48.5,37.5,59.5
Anus,Women,All ages,Non-standardised,Stage 4,1-year,2013-2017,England,317,61.0,55.5,66.5
Anus,Women,All ages,Age-standardised,Stage 4,1-year,2013-2017,England,317,59.0,53.5,65.1
Anus,Women,15-54,Non-standardised,Unstageable,1-year,2013-2017,England,34,88.4,77.8,99.0
Anus,Women,55-64,Non-standardised,Unstageable,1-year,2013-2017,England,56,83.7,73.8,93.6
Anus,Women,65-74,Non-standardised,Unstageable,1-year,2013-2017,England,61,79.6,69.3,90.0
Anus,Women,75-99,Non-standardised,Unstageable,1-year,2013-2017,England,99,66.8,56.7,76.9
Anus,Women,All ages,Non-standardised,Unstageable,1-year,2013-2017,England,250,76.8,71.2,82.4
Anus,Women,All ages,Age-standardised,Unstageable,1-year,2013-2017,England,250,78.1,73.0,83.6
Anus,Women,15-44,Non-standardised,Unknown/missing,1-year,2013-2017,England,55,94.6,88.7,100.6
Anus,Women,45-54,Non-standardised,Unknown/missing,1-year,2013-2017,England,109,96.5,93.0,100.0
Anus,Women,55-64,Non-standardised,Unknown/missing,1-year,2013-2017,England,133,90.6,85.5,95.6
Anus,Women,65-74,Non-standardised,Unknown/missing,1-year,2013-2017,England,114,87.7,81.4,94.0
Anus,Women,75-99,Non-standardised,Unknown/missing,1-year,2013-2017,England,213,58.1,50.8,65.4
Anus,Women,All ages,Non-standardised,Unknown/missing,1-year,2013-2017,England,624,80.4,77.0,83.7
Anus,Women,All ages,Age-standardised,Unknown/missing,1-year,2013-2017,England,624,79.7,76.3,83.3
Anus,Women,15-44,Non-standardised,All stages combined,1-year,2013-2017,England,243,93.9,90.9,96.9
Anus,Women,45-54,Non-standardised,All stages combined,1-year,2013-2017,England,695,95.2,93.5,96.8
Anus,Women,55-64,Non-standardised,All stages combined,1-year,2013-2017,England,978,93.7,92.1,95.3
Anus,Women,65-74,Non-standardised,All stages combined,1-year,2013-2017,England,970,89.8,87.8,91.8
Anus,Women,75-99,Non-standardised,All stages combined,1-year,2013-2017,England,974,75.8,72.8,78.9
Anus,Women,All ages,Non-standardised,All stages combined,1-year,2013-2017,England,"3,860",88.5,87.4,89.6
Anus,Women,All ages,Age-standardised,All stages combined,1-year,2013-2017,England,"3,860",87.2,86.0,88.5
Anus,Women,15-44,Non-standardised,Stage 1,5-years,2013-2017,England,33,:,:,:
Anus,Women,45-54,Non-standardised,Stage 1,5-years,2013-2017,England,95,:,:,:
Anus,Women,55-64,Non-standardised,Stage 1,5-years,2013-2017,England,133,:,:,:
Anus,Women,65-74,Non-standardised,Stage 1,5-years,2013-2017,England,108,:,:,:
Anus,Women,75-99,Non-standardised,Stage 1,5-years,2013-2017,England,82,:,:,:
Anus,Women,All ages,Non-standardised,Stage 1,5-years,2013-2017,England,451,89.4,82.4,96.4
Anus,Women,All ages,Age-standardised,Stage 1,5-years,2013-2017,England,451,:,:,:
Anus,Women,15-44,Non-standardised,Stage 2,5-years,2013-2017,England,40,:,:,:
Anus,Women,45-54,Non-standardised,Stage 2,5-years,2013-2017,England,140,83.2,69.7,96.6
Anus,Women,55-64,Non-standardised,Stage 2,5-years,2013-2017,England,215,:,:,:
Anus,Women,65-74,Non-standardised,Stage 2,5-years,2013-2017,England,245,:,:,:
Anus,Women,75-99,Non-standardised,Stage 2,5-years,2013-2017,England,210,60.7,45.8,75.6
Anus,Women,All ages,Non-standardised,Stage 2,5-years,2013-2017,England,850,81.6,76.4,86.7
Anus,Women,All ages,Age-standardised,Stage 2,5-years,2013-2017,England,850,:,:,:
Anus,Women,15-44,Non-standardised,Stage 3,5-years,2013-2017,England,88,:,:,:
Anus,Women,45-54,Non-standardised,Stage 3,5-years,2013-2017,England,271,:,:,:
Anus,Women,55-64,Non-standardised,Stage 3,5-years,2013-2017,England,382,76.1,69.5,82.7
Anus,Women,65-74,Non-standardised,Stage 3,5-years,2013-2017,England,344,71.3,63.4,79.1
Anus,Women,75-99,Non-standardised,Stage 3,5-years,2013-2017,England,283,34.7,22.3,47.2
Anus,Women,All ages,Non-standardised,Stage 3,5-years,2013-2017,England,"1,368",65.8,61.3,70.3
Anus,Women,All ages,Age-standardised,Stage 3,5-years,2013-2017,England,"1,368",:,:,:
Anus,Women,15-44,Non-standardised,Stage 4,5-years,2013-2017,England,17,:,:,:
Anus,Women,45-54,Non-standardised,Stage 4,5-years,2013-2017,England,56,:,:,:
Anus,Women,55-64,Non-standardised,Stage 4,5-years,2013-2017,England,59,:,:,:
